summonerName,championId,championName,championLevel,championPoints
Agurin모모,59,Jarvan IV (JarvanIV),5,73148
Agurin모모,60,Elise (Elise),5,50429
Agurin모모,56,Nocturne (Nocturne),5,31883
Agurin모모,121,Kha'Zix (Khazix),3,11319
Agurin모모,103,Ahri (Ahri),2,5662
Agurin모모,28,Evelynn (Evelynn),2,4552
Agurin모모,131,Diana (Diana),2,4128
Agurin모모,90,Malzahar (Malzahar),2,2213
Agurin모모,2,Olaf (Olaf),1,854
Agurin모모,134,Syndra (Syndra),1,371
Agurin모모,30,Karthus (Karthus),1,204
Agurin모모,43,Karma (Karma),1,130
땅굴팀 미드,157,Yasuo (Yasuo),5,296891
땅굴팀 미드,777,Yone (Yone),5,235189
땅굴팀 미드,105,Fizz (Fizz),5,80107
땅굴팀 미드,246,Qiyana (Qiyana),5,75323
땅굴팀 미드,91,Talon (Talon),5,42882
땅굴팀 미드,18,Tristana (Tristana),5,27093
땅굴팀 미드,76,Nidalee (Nidalee),5,21711
땅굴팀 미드,221,Zeri (Zeri),4,17680
땅굴팀 미드,523,Aphelios (Aphelios),4,15001
땅굴팀 미드,238,Zed (Zed),4,12962
땅굴팀 미드,81,Ezreal (Ezreal),3,10892
땅굴팀 미드,202,Jhin (Jhin),3,8971
땅굴팀 미드,420,Illaoi (Illaoi),3,8499
땅굴팀 미드,43,Karma (Karma),3,7431
땅굴팀 미드,64,Lee Sin (LeeSin),3,7251
땅굴팀 미드,117,Lulu (Lulu),2,5520
땅굴팀 미드,13,Ryze (Ryze),2,5417
땅굴팀 미드,15,Sivir (Sivir),2,5376
땅굴팀 미드,22,Ashe (Ashe),2,4528
땅굴팀 미드,16,Soraka (Soraka),2,4482
땅굴팀 미드,498,Xayah (Xayah),2,4434
땅굴팀 미드,145,Kai'Sa (Kaisa),2,4416
땅굴팀 미드,39,Irelia (Irelia),2,4316
땅굴팀 미드,120,Hecarim (Hecarim),2,4064
땅굴팀 미드,429,Kalista (Kalista),2,4045
땅굴팀 미드,350,Yuumi (Yuumi),2,4022
땅굴팀 미드,236,Lucian (Lucian),2,3635
땅굴팀 미드,67,Vayne (Vayne),2,3236
땅굴팀 미드,57,Maokai (Maokai),2,3121
땅굴팀 미드,110,Varus (Varus),2,3098
땅굴팀 미드,63,Brand (Brand),2,3023
땅굴팀 미드,51,Caitlyn (Caitlyn),2,2992
땅굴팀 미드,38,Kassadin (Kassadin),2,2763
땅굴팀 미드,55,Katarina (Katarina),2,2721
땅굴팀 미드,104,Graves (Graves),2,2692
땅굴팀 미드,134,Syndra (Syndra),2,2673
땅굴팀 미드,96,Kog'Maw (KogMaw),2,2667
땅굴팀 미드,222,Jinx (Jinx),2,2642
땅굴팀 미드,3,Galio (Galio),2,2590
땅굴팀 미드,875,Sett (Sett),2,2378
땅굴팀 미드,84,Akali (Akali),2,2344
땅굴팀 미드,37,Sona (Sona),2,2170
땅굴팀 미드,119,Draven (Draven),2,2168
땅굴팀 미드,517,Sylas (Sylas),2,2048
땅굴팀 미드,45,Veigar (Veigar),2,1991
땅굴팀 미드,126,Jayce (Jayce),2,1952
땅굴팀 미드,30,Karthus (Karthus),2,1939
땅굴팀 미드,69,Cassiopeia (Cassiopeia),2,1896
땅굴팀 미드,131,Diana (Diana),2,1860
땅굴팀 미드,412,Thresh (Thresh),2,1809
땅굴팀 미드,267,Nami (Nami),1,1764
땅굴팀 미드,7,LeBlanc (Leblanc),1,1580
땅굴팀 미드,154,Zac (Zac),1,1541
땅굴팀 미드,895,Nilah (Nilah),1,1526
땅굴팀 미드,53,Blitzcrank (Blitzcrank),1,1516
땅굴팀 미드,142,Zoe (Zoe),1,1419
땅굴팀 미드,82,Mordekaiser (Mordekaiser),1,1404
땅굴팀 미드,21,Miss Fortune (MissFortune),1,1373
땅굴팀 미드,29,Twitch (Twitch),1,1330
땅굴팀 미드,58,Renekton (Renekton),1,1265
땅굴팀 미드,40,Janna (Janna),1,1237
땅굴팀 미드,245,Ekko (Ekko),1,1188
땅굴팀 미드,266,Aatrox (Aatrox),1,1175
땅굴팀 미드,99,Lux (Lux),1,1169
땅굴팀 미드,101,Xerath (Xerath),1,1167
땅굴팀 미드,103,Ahri (Ahri),1,1078
땅굴팀 미드,1,Annie (Annie),1,1028
땅굴팀 미드,888,Renata Glasc (Renata),1,979
땅굴팀 미드,41,Gangplank (Gangplank),1,978
땅굴팀 미드,74,Heimerdinger (Heimerdinger),1,956
땅굴팀 미드,31,Cho'Gath (Chogath),1,949
땅굴팀 미드,114,Fiora (Fiora),1,936
땅굴팀 미드,25,Morgana (Morgana),1,926
땅굴팀 미드,4,Twisted Fate (TwistedFate),1,925
땅굴팀 미드,10,Kayle (Kayle),1,891
땅굴팀 미드,201,Braum (Braum),1,844
땅굴팀 미드,11,Master Yi (MasterYi),1,832
땅굴팀 미드,107,Rengar (Rengar),1,783
땅굴팀 미드,127,Lissandra (Lissandra),1,753
땅굴팀 미드,111,Nautilus (Nautilus),1,740
땅굴팀 미드,518,Neeko (Neeko),1,718
땅굴팀 미드,28,Evelynn (Evelynn),1,612
땅굴팀 미드,163,Taliyah (Taliyah),1,270
땅굴팀 미드,23,Tryndamere (Tryndamere),1,262
땅굴팀 미드,235,Senna (Senna),1,261
땅굴팀 미드,8,Vladimir (Vladimir),1,237
땅굴팀 미드,113,Sejuani (Sejuani),1,177
땅굴팀 미드,32,Amumu (Amumu),1,158
땅굴팀 미드,90,Malzahar (Malzahar),1,126
땅굴팀 미드,887,Gwen (Gwen),1,122
땅굴팀 미드,143,Zyra (Zyra),1,117
땅굴팀 미드,54,Malphite (Malphite),1,117
땅굴팀 미드,897,K'Sante (KSante),1,106
땅굴팀 미드,61,Orianna (Orianna),1,105
땅굴팀 미드,122,Darius (Darius),1,97
땅굴팀 미드,360,Samira (Samira),1,96
땅굴팀 미드,24,Jax (Jax),1,89
Let me sup,412,Thresh (Thresh),7,736017
Let me sup,432,Bard (Bard),7,566127
Let me sup,223,Tahm Kench (TahmKench),7,250662
Let me sup,12,Alistar (Alistar),7,238489
Let me sup,111,Nautilus (Nautilus),7,185576
Let me sup,89,Leona (Leona),7,177886
Let me sup,497,Rakan (Rakan),7,171953
Let me sup,201,Braum (Braum),7,169091
Let me sup,40,Janna (Janna),7,162340
Let me sup,25,Morgana (Morgana),7,145577
Let me sup,43,Karma (Karma),7,141874
Let me sup,526,Rell (Rell),7,107898
Let me sup,117,Lulu (Lulu),7,104422
Let me sup,267,Nami (Nami),7,90009
