,puuid,championId,championLevel,championPoints
0,,59,5,73148
1,,60,5,50429
2,,56,5,31883
3,,121,3,11319
4,,103,2,5662
5,,28,2,4552
6,,131,2,4128
7,,90,2,2213
8,,2,1,854
9,,134,1,371
10,,30,1,204
11,,43,1,130
12,,157,5,296891
13,,777,5,235189
14,,105,5,80107
15,,246,5,75323
16,,91,5,42882
17,,18,5,27093
18,,76,5,21711
19,,221,4,17680
20,,523,4,15001
21,,238,4,12962
22,,81,3,10892
23,,202,3,8971
24,,420,3,8499
25,,43,3,7431
26,,64,3,7251
27,,117,2,5520
28,,13,2,5417
29,,15,2,5376
30,,22,2,4528
31,,16,2,4482
32,,498,2,4434
33,,145,2,4416
34,,39,2,4316
35,,120,2,4064
36,,429,2,4045
37,,350,2,4022
38,,236,2,3635
39,,67,2,3236
40,,57,2,3121
41,,110,2,3098
42,,63,2,3023
43,,51,2,2992
44,,38,2,2763
45,,55,2,2721
46,,104,2,2692
47,,134,2,2673
48,,96,2,2667
49,,222,2,2642
50,,3,2,2590
51,,875,2,2378
52,,84,2,2344
53,,37,2,2170
54,,119,2,2168
55,,517,2,2048
56,,45,2,1991
57,,126,2,1952
58,,30,2,1939
59,,69,2,1896
60,,131,2,1860
61,,412,2,1809
62,,267,1,1764
63,,7,1,1580
64,,154,1,1541
65,,895,1,1526
66,,53,1,1516
67,,142,1,1419
68,,82,1,1404
69,,21,1,1373
70,,29,1,1330
71,,58,1,1265
72,,40,1,1237
73,,245,1,1188
74,,266,1,1175
75,,99,1,1169
76,,101,1,1167
77,,103,1,1078
78,,1,1,1028
79,,888,1,979
80,,41,1,978
81,,74,1,956
82,,31,1,949
83,,114,1,936
84,,25,1,926
85,,4,1,925
86,,10,1,891
87,,201,1,844
88,,11,1,832
89,,107,1,783
90,,127,1,753
91,,111,1,740
92,,518,1,718
93,,28,1,612
94,,163,1,270
95,,23,1,262
96,,235,1,261
97,,8,1,237
98,,113,1,177
99,,32,1,158
100,,90,1,126
101,,887,1,122
102,,143,1,117
103,,54,1,117
104,,897,1,106
105,,61,1,105
106,,122,1,97
107,,360,1,96
108,,24,1,89
109,,412,7,736017
110,,432,7,566127
111,,223,7,250662
112,,12,7,238489
113,,111,7,185576
114,,89,7,177886
115,,497,7,171953
116,,201,7,169091
117,,40,7,162340
118,,25,7,145577
119,,43,7,141874
120,,526,7,107898
121,,117,7,104422
122,,267,7,90009
123,,53,7,77448
124,,48,6,77363
125,,32,7,55799
126,,235,7,54206
127,,57,6,42508
128,,3,6,38307
129,,51,5,23897
130,,79,5,23669
131,,36,5,21651
132,,236,4,20970
133,,85,4,19335
134,,902,4,17451
135,,555,4,17145
136,,202,4,14583
137,,516,4,13206
138,,103,3,12343
139,,15,3,12306
140,,81,3,11113
141,,99,3,10684
142,,1,3,10288
143,,350,3,9227
144,,888,3,8628
145,,21,3,8256
146,,90,3,8213
147,,22,3,8118
148,,26,3,7878
149,,115,3,6186
150,,110,2,5206
151,,143,2,5123
152,,44,2,4232
153,,54,2,4226
154,,4,2,4129
155,,80,2,4096
156,,147,2,4012
157,,60,2,3903
158,,76,2,3693
159,,16,2,3616
160,,98,2,3409
161,,113,2,3247
162,,17,2,3001
163,,9,2,2802
164,,157,2,2651
165,,37,2,2550
166,,67,2,2505
167,,34,2,2316
168,,18,2,2297
169,,203,2,2236
170,,58,2,2047
171,,38,2,2032
172,,102,2,1981
173,,875,2,1925
174,,121,1,1754
175,,238,1,1749
176,,14,1,1725
177,,101,1,1700
178,,27,1,1700
179,,75,1,1610
180,,421,1,1433
181,,122,1,1421
182,,29,1,1270
183,,429,1,1237
184,,711,1,1225
185,,154,1,1043
186,,498,1,987
187,,92,1,985
188,,86,1,969
189,,74,1,908
190,,150,1,829
191,,13,1,825
192,,222,1,818
193,,45,1,772
194,,63,1,725
195,,59,1,688
196,,69,1,658
197,,518,1,628
198,,82,1,618
199,,33,1,608
200,,62,1,597
201,,10,1,583
202,,126,1,564
203,,112,1,501
204,,104,1,413
205,,20,1,373
206,,96,1,278
207,,50,1,251
208,,24,1,236
209,,8,1,208
210,,61,1,195
211,,78,1,175
212,,28,1,173
213,,266,1,167
214,,133,1,152
215,,141,1,143
216,,41,1,134
217,,106,1,126
218,,166,1,125
219,,11,1,123
220,,161,1,116
221,,120,1,114
222,,127,1,110
223,,517,1,108
224,,268,1,108
225,,35,1,106
226,,142,1,100
227,,164,1,99
228,,42,1,96
229,,777,1,95
230,,134,1,85
231,,64,5,452495
232,,79,5,418713
233,,80,5,335567
234,,60,5,267374
235,,421,5,206143
236,,104,5,187172
237,,517,5,176792
238,,5,5,162774
239,,203,6,158403
240,,76,5,152925
241,,163,5,127566
242,,234,5,122192
243,,245,5,119254
244,,121,5,118946
245,,113,5,118007
246,,81,5,106183
247,,106,5,95742
248,,59,5,93818
249,,876,5,89993
250,,164,5,82797
251,,2,5,75463
252,,78,5,72413
253,,30,5,67074
254,,141,5,66594
255,,62,5,60830
256,,56,5,51479
257,,107,5,48829
258,,120,5,47651
259,,131,5,47137
260,,91,5,36522
261,,43,5,36149
262,,236,5,33013
263,,200,5,32242
264,,127,5,28429
265,,48,5,26491
266,,77,5,25495
267,,110,5,25175
268,,103,5,23991
269,,134,5,22966
270,,53,5,22620
271,,68,4,20748
272,,24,4,18929
273,,254,4,18232
274,,18,4,18225
275,,875,4,17990
276,,20,4,17655
277,,157,4,17518
278,,246,4,17174
279,,498,4,14727
280,,238,4,12762
281,,12,3,12312
282,,72,3,12082
283,,22,3,10842
284,,266,3,9575
285,,28,3,8911
286,,887,3,8494
287,,154,3,8127
288,,145,3,7962
289,,150,3,7583
290,,15,3,7520
291,,61,3,7052
292,,555,3,6968
293,,497,3,6651
294,,42,3,6449
295,,102,3,6356
296,,518,3,6271
297,,223,3,6260
298,,3,3,6166
299,,25,3,6094
300,,38,2,5957
301,,202,2,5896
302,,99,2,5811
303,,63,2,5563
304,,84,2,5439
305,,126,2,5302
306,,51,2,5162
307,,58,2,5091
308,,8,2,4528
309,,54,2,4485
310,,67,2,4472
311,,350,2,4343
312,,57,2,4239
313,,86,2,3873
314,,122,2,3703
315,,412,2,3681
316,,7,2,3284
317,,6,2,3046
318,,9,2,2759
319,,13,2,2609
320,,36,2,2551
321,,21,2,2384
322,,82,2,2272
323,,111,2,2065
324,,27,2,2065
325,,222,2,2044
326,,85,2,2034
327,,31,2,1933
328,,39,2,1916
329,,1,2,1913
330,,50,2,1832
331,,432,2,1830
332,,29,1,1681
333,,115,1,1470
334,,40,1,1413
335,,4,1,1347
336,,105,1,1263
337,,89,1,1197
338,,35,1,1189
339,,11,1,1178
340,,101,1,1066
341,,32,1,1004
342,,98,1,904
343,,16,1,872
344,,516,1,845
345,,161,1,811
346,,114,1,805
347,,23,1,794
348,,92,1,764
349,,119,1,692
350,,267,1,617
351,,420,1,600
352,,45,1,563
353,,133,1,548
354,,26,1,545
355,,69,1,532
356,,33,1,399
357,,142,1,392
358,,14,1,287
359,,117,1,267
360,,526,1,232
361,,268,1,216
362,,34,1,187
363,,777,1,128
364,,221,1,123
365,,55,1,115
366,,112,1,89
367,,76,5,40338
368,,60,5,39714
369,,104,5,33911
370,,121,5,33902
371,,203,5,30919
372,,5,5,29238
373,,64,4,21046
374,,517,4,18608
375,,876,4,17263
376,,163,4,16942
377,,79,4,15551
378,,18,4,13032
379,,518,3,10001
380,,254,3,8608
381,,30,2,5980
382,,131,2,5201
383,,111,2,3773
384,,91,2,3687
385,,234,2,3466
386,,24,2,3360
387,,113,2,3353
388,,777,2,3334
389,,43,2,3321
390,,62,2,3312
391,,37,2,3259
392,,120,2,3115
393,,141,2,2106
394,,16,2,2024
395,,78,2,2000
396,,245,2,1933
397,,711,2,1814
398,,63,1,1762
399,,58,1,1755
400,,7,1,1739
401,,105,1,1694
402,,114,1,1692
403,,266,1,1677
404,,59,1,1667
405,,222,1,1655
406,,92,1,1642
407,,90,1,1642
408,,35,1,1628
409,,8,1,1606
410,,13,1,1448
411,,54,1,1432
412,,57,1,1108
413,,11,1,1067
414,,350,1,1014
415,,56,1,993
416,,126,1,987
417,,32,1,930
418,,221,1,899
419,,498,1,715
420,,202,1,647
421,,81,1,620
422,,103,1,485
423,,67,1,342
424,,4,1,337
425,,238,1,335
426,,133,1,332
427,,10,1,322
428,,99,1,314
429,,82,1,313
430,,86,1,296
431,,117,1,161
432,,75,1,145
433,,2,1,140
434,,145,1,96
435,,89,1,82
436,,777,6,251664
437,,84,6,159963
438,,517,5,131971
439,,80,6,127078
440,,236,6,106783
441,,268,6,86103
442,,142,5,81310
443,,4,6,79298
444,,39,5,75934
445,,134,6,75650
446,,13,7,74488
447,,234,6,72702
448,,875,6,67092
449,,58,6,64682
450,,166,5,60395
451,,163,6,59032
452,,112,6,57686
453,,103,7,54494
454,,55,6,52892
455,,711,6,45548
456,,18,6,43889
457,,3,6,41400
458,,61,6,39531
459,,106,5,37381
460,,7,5,31489
461,,126,5,30265
462,,1,6,27083
463,,69,5,26820
464,,43,5,25788
465,,42,6,25270
466,,79,6,25239
467,,81,5,24409
468,,887,5,23252
469,,518,5,22667
470,,127,5,22446
471,,897,4,19107
472,,131,4,18500
473,,23,4,17891
474,,266,4,17781
475,,516,4,17726
476,,157,4,15343
477,,246,4,14812
478,,54,4,14666
479,,245,4,12923
480,,117,3,12343
481,,76,3,12302
482,,12,3,12216
483,,20,3,12032
484,,164,3,11726
485,,56,3,10879
486,,64,3,10496
487,,523,3,9562
488,,235,3,9060
489,,89,3,8701
490,,360,3,8428
491,,68,3,8004
492,,50,3,7955
493,,150,3,7896
494,,85,3,7610
495,,429,3,7539
496,,21,3,7368
497,,67,3,7279
498,,14,3,6731
499,,34,3,6646
500,,62,3,6535
501,,82,3,6520
502,,78,3,6371
503,,145,3,6342
504,,240,3,6030
505,,22,2,5968
506,,203,2,5731
507,,147,2,5631
508,,25,2,5593
509,,111,2,5563
510,,876,2,5514
511,,136,2,5367
512,,104,2,5361
513,,427,2,5063
